coord,z,M_black_hole,L_disk,magfield
0626.0-5436, 2.05, 6.03e+08, 3.02e+46, 2.00
0629.4-1959, 1.72, 7.94e+08, 1.29e+46, 1.30
0635.7-7517, 0.65, 7.08e+08, 7.08e+46, 3.30
0638.6+7324, 1.85, 2.00e+09, 7.94e+46, 2.90
0648.1-3045, 1.15, 7.08e+08, 1.51e+46, 2.20
0654.4+4514, 0.93, 1.51e+08, 1.00e+45, 1.00
0654.4+5042, 1.25, 2.09e+08, 9.12e+44, 1.50
0701.4-4634, 0.82, 5.01e+08, 1.29e+45, 0.80
0712.6+5033, 0.50, 5.01e+08, 3.72e+44, 1.30
0721.9+7120, 0.13, 5.01e+08, 3.09e+44, 1.90
0725.2+1425, 1.04, 2.00e+09, 1.20e+46, 3.00
0726.6-4727, 1.69, 5.01e+08, 1.00e+46, 2.60
0733.8+5021, 0.72, 5.01e+08, 2.82e+45, 1.50
0738.1+1741, 0.42, 5.01e+08, 1.20e+45, 1.40
0739.4+0137, 0.19, 2.00e+08, 1.00e+45, 2.10
0748.3+2401, 0.41, 5.37e+08, 1.00e+44, 1.50
0750.6+1232, 0.89, 1.00e+09, 2.40e+46, 1.90
0753.1+5353, 0.20, 5.01e+08, 3.98e+43, 0.60
0757.0+0956, 0.27, 5.01e+08, 1.41e+44, 1.20
0805.2-0112, 1.39, 1.51e+09, 2.51e+46, 1.90
0805.4+6144, 3.03, 3.02e+09, 3.72e+46, 1.90
0807.9+4946, 1.43, 5.01e+09, 2.69e+46, 1.20
0808.2-0751, 1.84, 5.01e+08, 3.98e+46, 4.50
0809.5+4045, 1.42, 8.91e+08, 1.41e+46, 1.20
0809.5+5342, 2.13, 2.09e+08, 1.91e+45, 1.50
0811.3+0146, 1.15, 7.94e+07, 3.02e+45, 2.50
0814.7+6428, 0.24, 5.01e+08, 1.10e+44, 1.70
0818.2+4223, 0.53, 5.01e+08, 5.01e+44, 1.50
0824.9+3916, 1.22, 6.03e+08, 1.41e+46, 2.00
0824.9+5551, 1.42, 1.29e+09, 2.09e+46, 2.50
0826.0+0307, 0.51, 5.01e+08, 2.29e+44, 2.80
0830.7+2408, 0.94, 1.00e+09, 3.02e+46, 2.80
0831.9+0430, 0.17, 3.24e+08, 4.57e+43, 1.50
0834.1+4223, 0.25, 5.01e+08, 5.01e+43, 1.00
0836.5-2020, 2.75, 2.00e+09, 6.03e+46, 2.00
0849.9+5108, 0.58, 7.76e+07, 5.62e+44, 1.00
0850.2-1214, 0.57, 5.01e+08, 8.91e+44, 2.00
0854.8+2006, 0.31, 5.01e+08, 5.25e+44, 2.00
0909.1+0121, 1.02, 1.41e+09, 3.47e+46, 2.90
0910.9+2248, 2.66, 7.08e+08, 1.58e+46, 3.00
0920.9+4442, 2.19, 2.00e+09, 7.08e+46, 2.00
0921.8+6215, 1.45, 1.00e+09, 1.10e+46, 2.50
0922.4-0529, 0.97, 5.01e+08, 9.33e+44, 1.00
0927.9-2037, 0.35, 7.94e+08, 7.94e+45, 1.50
0929.4+5013, 0.37, 5.01e+08, 1.00e+44, 0.80
0937.7+5008, 0.28, 3.24e+07, 9.77e+43, 1.10
0940.9-1337, 0.55, 5.01e+08, 3.89e+45, 2.60
0941.6+2727, 1.31, 4.27e+08, 5.25e+45, 2.60
0948.6+4041, 1.25, 1.51e+09, 3.02e+46, 1.80
0948.8+0021, 0.58, 2.00e+08, 5.01e+45, 2.70
0956.6+2515, 0.71, 2.88e+08, 8.51e+45, 1.80
0957.4+4728, 1.88, 2.19e+09, 3.98e+46, 1.50
0958.6+6534, 0.37, 5.01e+08, 5.62e+44, 2.00
1001.0+2913, 0.56, 3.02e+07, 1.20e+44, 2.40
1006.7-2159, 0.33, 7.08e+08, 2.40e+45, 1.30
1007.4-3334, 1.84, 7.08e+08, 9.33e+45, 2.60
1013.5+3440, 1.41, 7.94e+08, 1.00e+46, 2.00
1015.0+4925, 0.21, 5.01e+08, 4.37e+44, 0.20
1018.3+3542, 1.23, 1.00e+09, 3.02e+46, 2.70
1018.4-3119, 0.79, 7.08e+08, 8.91e+45, 1.60
1023.1+3952, 1.25, 1.00e+09, 1.58e+46, 2.40
1033.2+4116, 1.12, 7.08e+08, 1.10e+46, 2.40
1033.8+6051, 1.40, 1.20e+09, 4.57e+45, 2.20
1037.0-2934, 0.31, 5.01e+08, 6.03e+43, 0.90
1037.4-3742, 1.82, 2.00e+09, 3.02e+46, 0.60
1043.1+2407, 0.56, 1.20e+08, 4.47e+44, 1.90
1044.4+8058, 1.25, 7.08e+08, 1.91e+46, 1.90
1048.4+7144, 1.15, 6.03e+09, 5.01e+46, 0.90
1058.1+7010, 2.49, 2.00e+09, 3.02e+46, 2.40
1058.4+8112, 0.71, 1.00e+09, 3.47e+45, 2.20
1058.5+0133, 0.89, 2.29e+08, 3.31e+45, 1.80
1058.5-8003, 0.58, 5.01e+08, 3.98e+45, 1.80
1058.6+5627, 0.14, 5.01e+08, 6.76e+43, 1.60
1104.4+3812, 0.03, 5.01e+08, 3.98e+43, 0.40
1107.4-4447, 1.60, 3.02e+09, 8.91e+46, 1.20
1124.1+2337, 1.55, 6.17e+08, 1.00e+46, 4.70
1127.0-1857, 1.05, 8.91e+08, 1.29e+46, 1.70
1131.4+3819, 1.73, 2.00e+09, 2.51e+46, 1.80
1136.6+7009, 0.04, 1.00e+08, 3.31e+42, 0.70
1146.8+3958, 1.09, 8.51e+08, 1.00e+46, 3.00
1147.0-3811, 1.05, 5.01e+08, 4.27e+45, 1.40
1147.8-0725, 1.34, 5.01e+08, 1.41e+46, 3.10
1152.3-0841, 2.37, 2.40e+09, 1.82e+46, 0.50
1159.5+2914, 0.72, 2.40e+08, 4.47e+45, 1.50
1217.8+3007, 0.13, 5.01e+08, 1.41e+44, 0.40
1220.2+3434, 0.18, 5.01e+08, 1.00e+44, 1.70
1221.4+2814, 0.10, 3.39e+08, 3.98e+43, 2.30
1222.4+0414, 0.97, 7.08e+08, 1.51e+46, 2.20
1226.9-1329, 0.46, 5.01e+08, 2.51e+44, 2.30
1229.1+0202, 0.16, 1.10e+09, 2.19e+46, 2.20
1230.3+2519, 0.14, 5.01e+08, 7.08e+43, 1.00
1246.7-2547, 0.64, 2.00e+08, 7.94e+45, 3.30
1248.2+5820, 0.85, 5.01e+08, 4.90e+45, 1.60
1256.1-0547, 0.54, 3.02e+08, 2.00e+45, 1.70
1258.7-2219, 1.30, 5.01e+08, 1.00e+46, 3.10
1303.7-4619, 1.66, 1.20e+08, 1.58e+45, 3.50
1308.7+3545, 1.05, 4.07e+07, 3.31e+44, 2.70
1310.6+3222, 1.00, 5.01e+08, 5.01e+45, 2.10
1310.7+5515, 0.93, 4.90e+08, 3.39e+45, 2.10
1312.7+4828, 0.64, 2.00e+08, 1.00e+44, 1.30
1316.0-3338, 1.21, 8.91e+08, 7.94e+45, 2.00
1317.8+3429, 1.05, 1.41e+09, 1.20e+46, 1.40
