B,gamma_min,gamma_max,alpha,delta,chi_squared
0.1,1280.0,10000.0,2.0,6.33,0.0784937269413966
0.1,1280.0,10000.0,2.0,6.89,0.0594862332000117
0.1,1280.0,10000.0,2.0,7.44,0.0459089906685475
0.1,1280.0,10000.0,2.0,8.0,0.0362149067082094
0.1,1280.0,12300.0,2.0,3.0,0.389918605083458
0.1,1280.0,12300.0,2.0,3.56,0.2880550042745942
0.1,1280.0,12300.0,2.0,4.11,0.2154217852659354
0.1,1280.0,12300.0,2.0,4.67,0.1604701099643152
0.1,1280.0,12300.0,2.0,5.22,0.1198479038632747
0.1,1280.0,12300.0,2.0,5.78,0.088704707144122
0.1,1280.0,12300.0,2.0,6.33,0.0658428683951942
0.1,1280.0,12300.0,2.0,6.89,0.04868581329228
0.1,1280.0,12300.0,2.0,7.44,0.036643567920293
0.1,1280.0,12300.0,2.0,8.0,0.0282850194180314
0.1,1280.0,15100.0,2.0,3.0,0.3598460101037681
0.1,1280.0,15100.0,2.0,3.56,0.263834957692341
0.1,1280.0,15100.0,2.0,4.11,0.1955875206365391
0.1,1280.0,15100.0,2.0,4.67,0.1441446923285539
0.1,1280.0,15100.0,2.0,5.22,0.106257939427808
0.1,1280.0,15100.0,2.0,5.78,0.0773318935749234
0.1,1280.0,15100.0,2.0,6.33,0.0562315682447308
0.1,1280.0,15100.0,2.0,6.89,0.0405551089676814
0.1,1280.0,15100.0,2.0,7.44,0.029710786830408
0.1,1280.0,15100.0,2.0,8.0,0.0223913693993826
0.1,1280.0,18500.0,2.0,3.0,0.3357718214772611
0.1,1280.0,18500.0,2.0,3.56,0.2446188738062155
0.1,1280.0,18500.0,2.0,4.11,0.1799802828812664
0.1,1280.0,18500.0,2.0,4.67,0.1314065169298161
0.1,1280.0,18500.0,2.0,5.22,0.0957619294376616
0.1,1280.0,18500.0,2.0,5.78,0.0686326092018287
0.1,1280.0,18500.0,2.0,6.33,0.0489324686290267
0.1,1280.0,18500.0,2.0,6.89,0.0344362383515248
0.1,1280.0,18500.0,2.0,7.44,0.0245220530119305
0.1,1280.0,18500.0,2.0,8.0,0.0179989416013518
0.1,1280.0,22700.0,2.0,3.0,0.3162019738830604
0.1,1280.0,22700.0,2.0,3.56,0.2291305055896079
0.1,1280.0,22700.0,2.0,4.11,0.1675033665381984
0.1,1280.0,22700.0,2.0,4.67,0.1213100023440669
0.1,1280.0,22700.0,2.0,5.22,0.0875258296237609
0.1,1280.0,22700.0,2.0,5.78,0.0618707948568981
0.1,1280.0,22700.0,2.0,6.33,0.0433131873780401
0.1,1280.0,22700.0,2.0,6.89,0.0297545868292383
0.1,1280.0,22700.0,2.0,7.44,0.0205832474096464
0.1,1280.0,22700.0,2.0,8.0,0.0146703596460778
0.1,1280.0,27800.0,2.0,3.0,0.3005954161951853
0.1,1280.0,27800.0,2.0,3.56,0.2168860584187762
0.1,1280.0,27800.0,2.0,4.11,0.1577238587270622
0.1,1280.0,27800.0,2.0,4.67,0.113467211982545
0.1,1280.0,27800.0,2.0,5.22,0.0811875362030738
0.1,1280.0,27800.0,2.0,5.78,0.0567293879221343
0.1,1280.0,27800.0,2.0,6.33,0.0390885549617912
0.1,1280.0,27800.0,2.0,6.89,0.0262517917412587
0.1,1280.0,27800.0,2.0,7.44,0.0176605197951468
0.1,1280.0,27800.0,2.0,8.0,0.0121979069062297
0.1,1280.0,34100.0,2.0,3.0,0.2879724547916538
0.1,1280.0,34100.0,2.0,3.56,0.2070752044433315
0.1,1280.0,34100.0,2.0,4.11,0.1499608656980494
0.1,1280.0,34100.0,2.0,4.67,0.1073023396971815
0.1,1280.0,34100.0,2.0,5.22,0.0762553394754062
0.1,1280.0,34100.0,2.0,5.78,0.0527861678969077
0.1,1280.0,34100.0,2.0,6.33,0.0358831918029832
0.1,1280.0,34100.0,2.0,6.89,0.0236112737325652
0.1,1280.0,34100.0,2.0,7.44,0.0154620407139211
0.1,1280.0,34100.0,2.0,8.0,0.0103412016203287
0.1,1280.0,41900.0,2.0,3.0,0.2778266490591681
0.1,1280.0,41900.0,2.0,3.56,0.1992737785385316
0.1,1280.0,41900.0,2.0,4.11,0.1438536005377401
0.1,1280.0,41900.0,2.0,4.67,0.1025065432438897
0.1,1280.0,41900.0,2.0,5.22,0.0724623935339071
0.1,1280.0,41900.0,2.0,5.78,0.0498018017734978
0.1,1280.0,41900.0,2.0,6.33,0.0334832148792188
0.1,1280.0,41900.0,2.0,6.89,0.0216573727621908
0.1,1280.0,41900.0,2.0,7.44,0.0138312455916752
0.1,1280.0,41900.0,2.0,8.0,0.0089648661581317
0.1,1280.0,51400.0,2.0,3.0,0.2698656138904555
0.1,1280.0,51400.0,2.0,3.56,0.193229439593437
0.1,1280.0,51400.0,2.0,4.11,0.1391818715044428
0.1,1280.0,51400.0,2.0,4.67,0.098887032079704
0.1,1280.0,51400.0,2.0,5.22,0.0696389046210541
0.1,1280.0,51400.0,2.0,5.78,0.0476127669017528
0.1,1280.0,51400.0,2.0,6.33,0.0317565866289189
0.1,1280.0,51400.0,2.0,6.89,0.0202728996653097
0.1,1280.0,51400.0,2.0,7.44,0.0126687337979765
0.1,1280.0,51400.0,2.0,8.0,0.0079922702248943
0.1,1280.0,63100.0,2.0,3.0,0.2636111864931037
0.1,1280.0,63100.0,2.0,3.56,0.1885545864759744
0.1,1280.0,63100.0,2.0,4.11,0.1356259695832708
0.1,1280.0,63100.0,2.0,4.67,0.0961786303275081
0.1,1280.0,63100.0,2.0,5.22,0.067563026439826
0.1,1280.0,63100.0,2.0,5.78,0.0460333266904592
0.1,1280.0,63100.0,2.0,6.33,0.0305460652330408
0.1,1280.0,63100.0,2.0,6.89,0.0193108490738368
0.1,1280.0,63100.0,2.0,7.44,0.0118901009963131
0.1,1280.0,63100.0,2.0,8.0,0.0075520962309546
0.1,1630.0,10000.0,2.0,3.0,0.4145927097671972
0.1,1630.0,10000.0,2.0,3.56,0.3075885214787639
0.1,1630.0,10000.0,2.0,4.11,0.2312294350151586
0.1,1630.0,10000.0,2.0,4.67,0.1733806411835095
0.1,1630.0,10000.0,2.0,5.22,0.1304762922026542
0.1,1630.0,10000.0,2.0,5.78,0.0973564989294517
0.1,1630.0,10000.0,2.0,6.33,0.0727863842685704
0.1,1630.0,10000.0,2.0,6.89,0.0541320569817292
0.1,1630.0,10000.0,2.0,7.44,0.0407400706420936
0.1,1630.0,10000.0,2.0,8.0,0.0311733587844962
0.1,1630.0,12300.0,2.0,3.0,0.3785305400434303
0.1,1630.0,12300.0,2.0,3.56,0.2784459195384884
0.1,1630.0,12300.0,2.0,4.11,0.2072856780006203
0.1,1630.0,12300.0,2.0,4.67,0.1536017905863769
0.1,1630.0,12300.0,2.0,5.22,0.1139906319211254
0.1,1630.0,12300.0,2.0,5.78,0.0835531596396242
0.1,1630.0,12300.0,2.0,6.33,0.0611321000007356
0.1,1630.0,12300.0,2.0,6.89,0.0442895388457815
0.1,1630.0,12300.0,2.0,7.44,0.0323902498917185
0.1,1630.0,12300.0,2.0,8.0,0.0240924299044381
0.1,1630.0,15100.0,2.0,3.0,0.3497257109517477
0.1,1630.0,15100.0,2.0,3.56,0.2553861754022262
0.1,1630.0,15100.0,2.0,4.11,0.188498687914165
0.1,1630.0,15100.0,2.0,4.67,0.1382148649683273
0.1,1630.0,15100.0,2.0,5.22,0.1012782707007858
0.1,1630.0,15100.0,2.0,5.78,0.0730200574232789
0.1,1630.0,15100.0,2.0,6.33,0.052333673769388
0.1,1630.0,15100.0,2.0,6.89,0.0369193439262366
0.1,1630.0,15100.0,2.0,7.44,0.0262026132004462
0.1,1630.0,15100.0,2.0,8.0,0.0188899642504256
0.1,1630.0,18500.0,2.0,3.0,0.3267401233313975
0.1,1630.0,18500.0,2.0,3.56,0.237140919422617
0.1,1630.0,18500.0,2.0,4.11,0.173754463651149
0.1,1630.0,18500.0,2.0,4.67,0.1262411314007416
0.1,1630.0,18500.0,2.0,5.22,0.0914727109134681
0.1,1630.0,18500.0,2.0,5.78,0.0649891627730701
0.1,1630.0,18500.0,2.0,6.33,0.0456914742455401
0.1,1630.0,18500.0,2.0,6.89,0.0314095745233919
0.1,1630.0,18500.0,2.0,7.44,0.0216121567187953
0.1,1630.0,18500.0,2.0,8.0,0.0150735019011801
0.1,1630.0,22700.0,2.0,3.0,0.3081072380487923
0.1,1630.0,22700.0,2.0,3.56,0.2224757739938734
0.1,1630.0,22700.0,2.0,4.11,0.1620019503109328
0.1,1630.0,22700.0,2.0,4.67,0.1167806484456117
0.1,1630.0,22700.0,2.0,5.22,0.083796024731042
0.1,1630.0,22700.0,2.0,5.78,0.0587779794998602
0.1,1630.0,22700.0,2.0,6.33,0.0406050984784004
0.1,1630.0,22700.0,2.0,6.89,0.0272427804287068
0.1,1630.0,22700.0,2.0,7.44,0.0181629638863357
0.1,1630.0,22700.0,2.0,8.0,0.0122344628007312
0.1,1630.0,27800.0,2.0,3.0,0.2932916167722592
